ⲛⲧⲉⲣⲉϥⲥⲱⲧⲙ	ⲛⲧⲉⲣⲉ|ϥ|ⲥⲱⲧⲙ
ϩⲉⲛⲕⲟⲟⲩⲉ	ϩⲉⲛ|ⲕⲟⲟⲩⲉ
ⲉϩⲉⲛⲁϩⲟ	ⲉ|ϩⲉⲛ|ⲁϩⲟ
ⲛϥϫⲓ	ⲛ|ϥ|ϫⲓ
ⲁϥⲃⲱⲕ	ⲁ|ϥ|ⲃⲱⲕ
ϩⲙⲡϩⲁⲡ	ϩⲙ|ⲡ|ϩⲁⲡ
ⲛⲥⲁϩ	ⲛ|ⲥⲁϩ
ⲉⲧⲟⲩⲛⲁⲧⲁϣⲉⲟⲉⲓϣ	ⲉⲧ|ⲟⲩ|ⲛⲁ|ⲧⲁϣⲉⲟⲉⲓϣ
ⲡⲁⲥⲡⲁⲥⲙⲟⲥ	ⲡ|ⲁⲥⲡⲁⲥⲙⲟⲥ
ⲛⲧⲉⲓⲙⲓⲛⲉ	ⲛ|ⲧⲉⲓ|ⲙⲓⲛⲉ
ⲑⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ⲧ|ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ
ⲛⲟⲩⲗⲁⲟⲥ	ⲛ|ⲟⲩ|ⲗⲁⲟⲥ
ϩⲛⲛϩⲩⲙⲛⲟⲥ	ϩⲛ|ⲛ|ϩⲩⲙⲛⲟⲥ
ⲛⲣⲉϥⲧⲱⲣⲡ	ⲛ|ⲣⲉϥⲧⲱⲣⲡ
ϩⲛⲁⲩ	ϩⲛⲁ|ⲩ
ⲉⲛⲁϣⲱϥ	ⲉ|ⲛⲁϣⲱ|ϥ
ⲛⲛⲉⲭⲏⲣⲁ	ⲛ|ⲛⲉ|ⲭⲏⲣⲁ
ϫⲉⲟⲩⲣⲙⲛⲕⲁϩ	ϫⲉ|ⲟⲩ|ⲣⲙⲛⲕⲁϩ
ϩⲛϩⲉⲛⲥⲓⲟⲟⲩⲛⲉ	ϩⲛ|ϩⲉⲛ|ⲥⲓⲟⲟⲩⲛⲉ
ϩⲙⲡⲁⲅⲁⲑⲟⲛ	ϩⲙ|ⲡ|ⲁⲅⲁⲑⲟⲛ
