#ⲱ	V	-
ϩⲙⲡⲉⲟⲩⲟⲉⲓϣⲉⲧⲙⲙⲁⲩ	ADV	-
ϩⲙⲡⲓⲟⲩⲟⲉⲓϣ	ADV	-
ϩⲙⲡⲙⲁⲉⲧⲙⲙⲁⲩ	ADV	-
ϩⲙⲡⲥⲁⲥⲛⲁⲩ	ADV	-
ϩⲛ	PREP	-
ϩⲛⲁ	VBD	-
ϩⲛⲁⲁⲩ	N	-
ϩⲛⲁⲁⲩⲛⲕⲁⲥⲟⲧⲉ	N	-
ϩⲛⲁⲩⲛⲕⲁⲥⲟⲧⲉ	N	-
ϩⲛⲉ	VBD	-
ϩⲛⲕⲉⲙⲁ	ADV	-
ϩⲛⲛⲉϩⲟⲟⲩⲛ	PREP	-
ϩⲛⲟⲩϣⲉⲡϩⲙⲟⲧ	ADV	-
ϩⲛⲟⲩϣⲡϩⲙⲟⲧ	ADV	-
ϩⲛⲟⲩϣⲡⲉⲛϣⲱⲡ	ADV	-
ϩⲛⲟⲩϣⲡⲛϣⲱⲡ	ADV	-
ϩⲛⲟⲩϩⲙⲟⲧ	ADV	-
ϩⲛⲟⲩϩⲱⲡ	ADV	-
ϩⲛⲟⲩϫⲱⲕ	ADV	-
ϩⲛⲟⲩϭⲉⲡⲏ	ADV	-
ϩⲛⲟⲩⲙⲉ	ADV	-
ϩⲛⲟⲩⲟⲩⲱⲛϩⲉⲃⲟⲗ	ADV	-
ϩⲛⲟⲩⲡⲉⲑⲏⲡ	ADV	-
ϩⲛⲧⲉⲩϣⲏ	ADV	-
ϩⲛⲧⲉⲩⲛⲟⲩ	ADV	-
ϩⲛⲧⲉⲩⲛⲟⲩⲉⲧⲙⲙⲁⲩ	ADV	-
ϩⲛⲧⲙⲏⲧⲉⲙ	PREP	-
ϩⲛⲧⲙⲏⲧⲉⲛ	PREP	-
ϩⲟ	N	-
ϩⲟϥ	N	-
ϩⲟϫϩϫ	V	-
ϩⲟϫϩⲉϫ	V	-
ϩⲟⲃⲟⲗⲟⲥ	N	-
ϩⲟⲃⲥ	V	-
ϩⲟⲉⲓⲙ	N	-
ϩⲟⲉⲓⲛⲉ	N	-
ϩⲟⲉⲓⲧⲉ	N	-
ϩⲟⲓⲛⲉ	N	-
ϩⲟⲓⲧⲉ	N	-
ϩⲟⲕ	V	-
ϩⲟⲗϭ	V	-
